2026-07-24 12:27:58,509 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.4s, reconnects=0
2026-07-24 12:27:58,513 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.4s, reconnects=0
2026-07-24 12:27:58,518 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,522 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,526 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,530 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,534 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,538 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,542 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,547 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,551 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,555 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,560 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,564 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,568 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,572 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,577 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,581 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,585 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,589 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,594 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,598 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,603 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,607 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,612 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,616 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.5s, reconnects=0
2026-07-24 12:27:58,620 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.6s, reconnects=0
2026-07-24 12:27:58,625 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.6s, reconnects=0
2026-07-24 12:27:58,629 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.6s, reconnects=0
2026-07-24 12:27:58,634 INFO trader_dost_arun.ops.alerts telegram disabled: ⚠️ <b>Health warning</b> bybit: score=30.0, p95=8549.4ms, stale=45.6s, reconnects=0
